French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
